# BLASTP 2.7.1+
# Query: NNMFBEEG_00001 hypothetical protein
# Database: Lferr
# 0 hits found
# BLASTP 2.7.1+
# Query: NNMFBEEG_00002 methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor
# Database: Lferr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 7 hits found
NNMFBEEG_00002	LFTS_01731	100.000	314	0	0	1	314	1	314	0.0	641
NNMFBEEG_00002	LFTS_01548	34.167	240	123	5	69	285	109	336	8.33e-26	101
NNMFBEEG_00002	LFTS_00227	40.000	155	89	1	150	300	337	491	2.30e-23	96.3
NNMFBEEG_00002	LFTS_01445	39.306	173	101	3	141	312	490	659	6.90e-23	95.1
NNMFBEEG_00002	LFTS_00048	40.764	157	80	4	162	312	100	249	6.22e-21	88.2
NNMFBEEG_00002	LFTS_02147	34.868	152	95	1	166	313	410	561	5.16e-20	86.3
NNMFBEEG_00002	LFTS_00183	50.000	94	43	2	185	275	271	363	6.51e-19	82.8
# BLASTP 2.7.1+
# Query: NNMFBEEG_00003 ribonuclease
# Database: Lferr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
NNMFBEEG_00003	LFTS_01730	100.000	142	0	0	1	142	1	142	8.57e-105	291
# BLASTP 2.7.1+
# Query: NNMFBEEG_00004 hypothetical protein
# Database: Lferr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
NNMFBEEG_00004	LFTS_01728	100.000	187	0	0	1	187	1	187	6.56e-140	384
# BLASTP 2.7.1+
# Query: NNMFBEEG_00005 hypothetical protein
# Database: Lferr
# 0 hits found
# BLASTP 2.7.1+
# Query: NNMFBEEG_00006 hypothetical protein
# Database: Lferr
# 0 hits found
# BLASTP 2.7.1+
# Query: NNMFBEEG_00007 integrase
# Database: Lferr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 5 hits found
NNMFBEEG_00007	LFTS_01725	100.000	104	0	0	1	104	1	104	3.77e-76	216
NNMFBEEG_00007	LFTS_02057	69.565	46	14	0	30	75	274	319	1.23e-17	72.4
NNMFBEEG_00007	LFTS_00923	63.043	46	17	0	30	75	272	317	8.05e-15	64.3
NNMFBEEG_00007	LFTS_01288	65.789	38	13	0	38	75	281	318	4.94e-12	56.6
NNMFBEEG_00007	LFTS_02205	76.667	30	7	0	46	75	275	304	1.21e-10	52.8
# BLASTP 2.7.1+
# Query: NNMFBEEG_00008 putative phage integrase
# Database: Lferr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 6 hits found
NNMFBEEG_00008	LFTS_01724	100.000	248	0	0	1	248	1	248	0.0	510
NNMFBEEG_00008	LFTS_02205	56.735	245	99	4	1	242	1	241	6.06e-90	265
NNMFBEEG_00008	LFTS_02057	55.645	248	106	3	1	247	1	245	7.77e-90	265
NNMFBEEG_00008	LFTS_00923	54.286	245	107	3	4	247	3	243	2.26e-82	246
NNMFBEEG_00008	LFTS_01288	47.325	243	126	1	3	245	2	242	5.79e-77	233
NNMFBEEG_00008	LFTS_00380	30.270	185	107	6	78	248	72	248	1.63e-13	65.1
# BLASTP 2.7.1+
# Query: NNMFBEEG_00010 chloride channel protein EriC
# Database: Lferr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
NNMFBEEG_00010	LFTS_01722	100.000	355	0	0	1	355	216	570	0.0	728
# BLASTP 2.7.1+
# Query: NNMFBEEG_00011 chloride channel protein EriC
# Database: Lferr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
NNMFBEEG_00011	LFTS_01722	96.774	62	2	0	1	62	56	117	7.00e-37	126
# BLASTP 2.7.1+
# Query: NNMFBEEG_00012 chloride channel protein EriC
# Database: Lferr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
NNMFBEEG_00012	LFTS_01722	100.000	55	0	0	1	55	1	55	2.34e-31	108
# BLASTP 2.7.1+
# Query: NNMFBEEG_00013 membrane protein
# Database: Lferr
